,anime_stat
249,https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale/stats
250,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu/stats
251,https://myanimelist.net/anime/32901/Eromanga-sensei/stats
252,https://myanimelist.net/anime/270/Hellsing/stats
253,https://myanimelist.net/anime/339/Serial_Experiments_Lain/stats
254,https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi/stats
255,https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld/stats
256,https://myanimelist.net/anime/34902/Tsurezure_Children/stats
257,https://myanimelist.net/anime/37982/Domestic_na_Kanojo/stats
258,https://myanimelist.net/anime/43299/Wonder_Egg_Priority/stats
259,https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen/stats
260,https://myanimelist.net/anime/1482/DGray-man/stats
261,https://myanimelist.net/anime/8769/Ore_no_Imouto_ga_Konnani_Kawaii_Wake_ga_Nai/stats
262,https://myanimelist.net/anime/39701/Nanatsu_no_Taizai__Kamigami_no_Gekirin/stats
263,https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records/stats
264,https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2/stats
265,https://myanimelist.net/anime/11633/Blood_Lad/stats
266,https://myanimelist.net/anime/32998/91_Days/stats
267,https://myanimelist.net/anime/27787/Nisekoi_/stats
268,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic/stats
269,https://myanimelist.net/anime/2993/Rosario_to_Vampire/stats
270,https://myanimelist.net/anime/40496/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou/stats
271,https://myanimelist.net/anime/28825/Himouto_Umaru-chan/stats
272,https://myanimelist.net/anime/37210/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu/stats
273,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou/stats
274,https://myanimelist.net/anime/7791/K-On/stats
275,https://myanimelist.net/anime/1818/Claymore/stats
276,https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan/stats
277,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season/stats
278,https://myanimelist.net/anime/31646/3-gatsu_no_Lion/stats
279,https://myanimelist.net/anime/32949/Kuzu_no_Honkai/stats
280,https://myanimelist.net/anime/2476/School_Days/stats
281,https://myanimelist.net/anime/23233/Shinmai_Maou_no_Testament/stats
282,https://myanimelist.net/anime/392/Yuu%E2%98%86Yuu%E2%98%86Hakusho/stats
283,https://myanimelist.net/anime/41389/Tonikaku_Kawaii/stats
284,https://myanimelist.net/anime/22789/Barakamon/stats
285,https://myanimelist.net/anime/28297/Ore_Monogatari/stats
286,https://myanimelist.net/anime/1887/Lucky%E2%98%86Star/stats
287,https://myanimelist.net/anime/38329/Seishun_Buta_Yarou_wa_Yumemiru_Shoujo_no_Yume_wo_Minai/stats
288,https://myanimelist.net/anime/30544/Gakusen_Toshi_Asterisk/stats
289,https://myanimelist.net/anime/23281/Psycho-Pass_2/stats
290,https://myanimelist.net/anime/30123/Akagami_no_Shirayuki-hime/stats
291,https://myanimelist.net/anime/16742/Watashi_ga_Motenai_no_wa_Dou_Kangaetemo_Omaera_ga_Warui/stats
292,https://myanimelist.net/anime/34618/Blend_S/stats
293,https://myanimelist.net/anime/22147/Amagi_Brilliant_Park/stats
294,https://myanimelist.net/anime/14289/Sukitte_Ii_na_yo/stats
295,https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2/stats
296,https://myanimelist.net/anime/6347/Baka_to_Test_to_Shoukanjuu/stats
297,https://myanimelist.net/anime/23277/Saenai_Heroine_no_Sodatekata/stats
298,https://myanimelist.net/anime/18277/Strike_the_Blood/stats
299,https://myanimelist.net/anime/9041/IS__Infinite_Stratos/stats
